,Track,Artist,Album,TrackID
0,Me So Horny,2 Live Crew,The 2 Live Crew's Greatest Hits,2419
1,We Got That Crack,40 Cal,Broken Safety,2421
2,Dip-Dip (feat. Juelz Santana),40 Cal,Broken Safety 2,2423
3,3 Gunz (Leo G Mix),40 Cal,Leader of the New School,2425
4,I'm Supposed to Die Tonight,50 Cent,The Massacre,2427
5,Yadadamean,A'z,Yadadamean - Single,2429
6,Let Her Blow,Afroman,A Colt 45 Christmas,2431
7,Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,The Good Times,2433
8,She Won't Let Me F**k,Afroman,The Good Times,2435
9,Because I Got High,Afroman,The Good Times,2437
10,Music to Watch Girls By,Al Hirt,Music to Watch Girls By,2439
11,Purple Trees,Alkohol,Purple Trees,2441
12,A Yo,Andre Nickatina featuring San Quinn,Conversation With a Devil,2443
13,I'm a Pisces,Andre Nickatina,"Raven Cocaine Raps, Vol 1.",2445
14,Jungle,Andre Nickatina & Equipto,Midnight Machine Gun Rhymes and Alibis,2447
15,"Pietà, Signore",Andrea Bocelli,Sacred Arias,2449
16,Music to Watch Girls By,Andy Williams,16 Most Requested Songs: Encore!,2451
17,Alice's Restaurant Massacree,Arlo Guthrie,The Best Of Arlo Guthrie,2453
18,I Won't See You Tonight Part 1 (Album Version),Avenged Sevenfold,Waking The Fallen,2455
19,I Won't See You Tonight Part 2 (Album Version),Avenged Sevenfold,Waking The Fallen,2457
20,Suga Suga,Baby Bash,Suga Suga,2459
21,Under Mi Sensi,Barrington Levy & Beenie Man,Duets,2461
22,Two of Us,Beatles,Let It Be,2463
23,Dig a Pony,Beatles,Let It Be,2465
24,Across the Universe,Beatles,Let It Be,2467
25,I Me Mine,Beatles,Let It Be,2469
26,Dig It,Beatles,Let It Be,2471
27,Let It Be,Beatles,Let It Be,2473
28,Maggie Mae,Beatles,Let It Be,2475
29,I've Got a Feeling,Beatles,Let It Be,2477
30,One After 909,Beatles,Let It Be,2479
31,The Long and Winding Road,Beatles,Let It Be,2481
32,For You Blue,Beatles,Let It Be,2483
33,Get Back,Beatles,Let It Be,2485
34,"Here, There, and Everywhere",Beatles,Revolver,2487
35,Yellow Submarine,Beatles,Revolver,2489
36,Sgt. Pepper's Lonely Hearts Club Band,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2491
37,With a Little Help From My Friends,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2493
38,Lucy in the Sky with Diamonds,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2495
39,Getting Better,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2497
40,Fixing a Hole,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2499
41,She's Leaving Home,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2501
42,Being for the Benefit of Mr. Kite!,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2503
43,Within You Without You,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2505
44,When I'm Sixty-Four,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2507
45,Lovely Rita,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2509
46,Good Morning Good Morning,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2511
47,Sgt. Pepper's Lonely Hearts Club Band (Reprise),Beatles,Sgt. Pepper's Lonely Hearts Club Band,2513
48,A Day in the Life,Beatles,Sgt. Pepper's Lonely Hearts Club Band,2515
49,No Diggity,Blackstreet & Dr. Dre,Another Level,2517
50,Uhn Tiss Uhn Tiss Uhn Tiss,Bloodhound Gang,Hefty Fine,2519
51,The Bad Touch,Bloodhound Gang,Hooray for Boobies,2521
52,Fire Water Burn,Bloodhound Gang,One Fierce Beer Coaster,2523
53,You're Pretty When I'm Drunk,Bloodhound Gang,Use Your Fingers,2525
54,Kinky Reggae,"Bob Marley, Ghetto Youths Crew & The Marley Boys",Chant Down Babylon (Various Artists  Compilation),2527
55,"Don't Worry, Be Happy",Bobby McFerrin,Best of Bobby McFerrin,2529
56,Improv in Montreal with Richar,"Bobby McFerrin, Richard Bona",,2531
57,Green Onions,Booker T. & The MG's,Green Onions,2533
58,5. Requiem: V. Pie Jesu,Coro Dell'Accademia Nazionale Di Santa Cecilia,In Paradisum: Fauré - Duruflé: Requiem,2535
59,For What It's Worth,Buffalo Springfield,Buffalo Springfield,2537
60,I'm Gonna Be a Country Girl Again,Buffy St. Marie,,2539
61,Now That the Buffalo's Gone,Buffy St. Marie,,2541
62,Ghetto Superstar,Cantarra,Ghetto Superstar - Single,2543
63,Starry Crown,Carolina Chocolate Drops,Dona Got a Ramblin' Mind,2545
64,Guantanamera,Celia Cruz,A Night of Salsa (Live Broadway Edition),2547
65,Amazing Grace,Chanticleer & Yvette Flunder,How Sweet the Sound,2549
66,My Soul Is a Witness,Chanticleer & Yvette Flunder,How Sweet the Sound,2551
67,Better Git It In Your Soul,Charles Mingus,Mingus Ah Um,2553
68,Goodbye Pork Pie Hat,Charles Mingus,Mingus Ah Um,2555
69,Boogie Stop Shuffle,Charles Mingus,Mingus Ah Um,2557
70,Self-Portrait In Three Colors,Charles Mingus,Mingus Ah Um,2559
71,Open Letter to Duke,Charles Mingus,Mingus Ah Um,2561
72,Bird Calls,Charles Mingus,Mingus Ah Um,2563
73,Fables of Faubus,Charles Mingus,Mingus Ah Um,2565
74,P***y Cat Dues,Charles Mingus,Mingus Ah Um,2567
75,Jelly Roll,Charles Mingus,Mingus Ah Um,2569
76,Pedal Point Blues,Charles Mingus,Mingus Ah Um,2571
77,GG Train,Charles Mingus,Mingus Ah Um,2573
78,Girl of My Dreams,Charles Mingus,Mingus Ah Um,2575
79,Haec Dies,Clare College Chapel Choir & Timothy Brown,Tudor Anthems from the Oxford Book of Tudor Anthems,2577
80,Auld Lang Syne,Platinum,"2000 International Barbershop Quartet Contest - First Round, Vol. 5 (Live)",2579
81,Play That Barbershop Chord,Power Play,"2001 International Barbershop Quartet Contest - First Round, Vol. 4 (Live)",2581
82,Blues In the Night,Saturday Evening Post,"2006 International Barbershop Quartet Contest - Final Round, Volume 1 (Digital Only,Live,Collection)",2583
83,Surfer Girl,OC Times,2007 International Barbershop Quartet Contest - Final Round - Volume 1 (Digital Only),2585
84,Somewhere,Max Q,2007 International Barbershop Quartet Contest - Final Round - Volume 1 (Digital Only),2587
85,Johnny B. Goode,Chuck Berry,20th Century Masters - The Millennium Collection: The Best of Blues Rock Songbook,2589
86,Free Bird,Lynyrd Skynyrd,20th Century Masters - The Millennium Collection: The Best of Lynyrd Skynyrd,2591
87,Smoke Two Joints,Sublime,20th Century Masters - The Millennium Collection: The Best of Sublime,2593
88,Lively up Yourself,Bob Marley,African Herbsman,2595
89,Small Axe,Bob Marley,African Herbsman,2597
90,Duppy Conqueror,Bob Marley & The Wailers,African Herbsman,2599
91,Trenchtown Rock,Bob Marley,African Herbsman,2601
92,African Herbsman,Bob Marley & The Wailers,African Herbsman,2603
93,Keep on Moving,Bob Marley,African Herbsman,2605
94,Fussing and Fighting,Bob Marley,African Herbsman,2607
95,Stand Alone,Bob Marley,African Herbsman,2609
96,"All in One (Medley, Part 1) (Bend Down Low, Nice Time, One Love, Simmer Down, It Hurts to Be Alone, Lonesome Feelings, Love and Affection, Put It On, Duppy Conqueror)",Bob Marley,African Herbsman,2611
97,Don't Rock the Boat,Bob Marley,African Herbsman,2613
98,Put It On,Bob Marley,African Herbsman,2615
99,Sun Is Shining,Bob Marley,African Herbsman,2617
100,Kaya,Bob Marley,African Herbsman,2619
101,Riding High,Bob Marley,African Herbsman,2621
102,Brain Washing,Bob Marley,African Herbsman,2623
103,Four Hundred Years,Bob Marley,African Herbsman,2625
104,Memphis,The Upstters,African Herbsman,2627
105,Live (Lively up Yourself Version),Tommy McCook,African Herbsman,2629
106,More Axe,The Upsetters,African Herbsman,2631
107,The Axe Man (Small Axe Version),The Upsetters,African Herbsman,2633
108,Zig Zag (Duppy Conqueror Version),The Upsetters,African Herbsman,2635
109,Grooving Kingston 12 (Trench Town Rock Version),Bob Marley,African Herbsman,2637
110,Moving Version,Big Youth,African Herbsman,2639
111,Keep on Skanking,Bob Marley,African Herbsman,2641
112,"Copasetic (All in One Version) (Bend Down Low, Nice Time, One Love, Simmer Down, It Hurts to Be Alone, Lonesome Feelings)",The Upsetters,African Herbsman,2643
113,Kaya Version 2,Bob Marley,African Herbsman,2645
114,Song To Aging Children,Tigger Outlaw,Alice's Restaurant,2647
115,Big Poppa,The Notorious B.I.G.,Bad Boy's 10th Anniversary - The Hits,2649
116,Ghetto Superstar (Radio Cut),Cantarra,Catwalk Megahits,2651
117,Run Rudolph Run,Chuck Berry,Chuck Berry: The Chess Box (Box Set),2653
118,"Bach: Cello Suite #1 In G, BWV 1007 - Prelude",Yo-Yo Ma,Classic Yo-Yo,2655
119,"Fauré: Piano Quartet #2 In G Minor, Op. 45 - Allegro Molto","Emanuel Ax, Isaac Stern, Jaime Laredo, Yo-Yo Ma",Classic Yo-Yo,2657
120,"Swing Down, Chariot",Golden Gate Quartet,"Close Harmony - A History of Southern Gospel Music, Vol. 1: 1920-1955",2659
121,Fight the Power,Public Enemy,Def Jam Recordings - Let The People Speak,2661
122,Bidibodi Bidibu' (2007 Re-Edit Extended),Bubbles,Electro Energy - Compilation By John Ruffnek,2663
123,Show Me The Way,Peter Frampton,Greatest Hits,2665
124,I Wana Go To The Sun,Peter Frampton,Greatest Hits,2667
125,It's A Plain Shame,Peter Frampton,Greatest Hits,2669
126,Lines On My Face,Peter Frampton,Greatest Hits,2671
